ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
68801,89.7,22.2,93.9,24.2,64.8,16.4,80.6,40.5,80.3,14.9,-,-,49.7,3.5
68803,93.7,27.3,94.2,27.5,53.0,8.7,92.0,18.8,62.2,25.8,89.3,0.0,67.0,13.3
68810,88.3,14.7,89.1,15.0,-,-,-,-,100.0,100.0,-,-,10.9,0.0
68812,98.5,40.4,98.5,40.2,-,-,-,-,-,-,-,-,-,-
68813,97.0,17.6,97.0,17.6,-,-,-,-,-,-,-,-,63.6,0.0
68814,90.4,24.4,90.4,24.5,-,-,100.0,7.4,50.0,0.0,-,-,100.0,0.0
68815,90.5,26.2,90.5,26.2,-,-,-,-,-,-,-,-,-,-
68816,100.0,20.0,100.0,20.0,-,-,-,-,-,-,-,-,-,-
68817,91.0,7.0,91.0,7.0,-,-,-,-,-,-,-,-,0.0,0.0
68818,98.6,25.7,99.0,25.7,-,-,-,-,-,-,-,-,-,-
68820,97.3,23.9,97.3,23.9,-,-,-,-,-,-,-,-,-,-
68821,92.9,4.3,92.9,4.3,-,-,-,-,-,-,-,-,-,-
68822,96.9,26.5,96.8,27.3,98.2,0.0,0.0,0.0,-,-,-,-,0.0,0.0
68823,96.3,31.8,96.2,31.4,100.0,0.0,-,-,-,-,-,-,-,-
68824,92.0,22.0,92.0,22.1,-,-,-,-,100.0,0.0,-,-,100.0,0.0
68825,91.7,33.8,92.2,34.1,100.0,100.0,-,-,-,-,-,-,100.0,0.0
68826,95.8,22.0,95.7,22.5,100.0,0.0,0.0,0.0,100.0,30.9,-,-,97.7,0.0
68827,94.6,17.5,94.6,17.5,-,-,-,-,-,-,-,-,0.0,0.0
68828,95.2,24.0,95.2,24.0,-,-,-,-,-,-,-,-,-,-
68831,97.8,14.2,97.7,14.3,-,-,-,-,-,-,-,-,-,-
68832,97.4,20.6,97.4,20.7,0.0,0.0,100.0,100.0,100.0,100.0,-,-,-,-
68833,86.4,31.8,86.4,31.8,-,-,-,-,-,-,-,-,-,-
68834,97.6,19.8,97.6,19.8,100.0,0.0,-,-,-,-,-,-,0.0,0.0
68835,93.4,17.3,93.4,17.4,-,-,-,-,-,-,-,-,0.0,0.0
68836,97.3,28.0,97.1,26.7,-,-,100.0,0.0,100.0,0.0,-,-,54.5,0.0
68837,100.0,18.8,100.0,18.8,-,-,-,-,-,-,-,-,-,-
68838,97.4,14.1,97.4,14.2,-,-,-,-,-,-,-,-,100.0,0.0
68840,93.6,29.7,93.9,30.3,28.6,28.6,-,-,-,-,-,-,42.4,4.2
68841,97.4,23.3,97.4,23.5,-,-,-,-,100.0,0.0,-,-,100.0,75.0
68842,90.0,18.4,90.0,18.4,100.0,0.0,100.0,0.0,-,-,-,-,-,-
68843,96.8,31.2,96.8,31.2,-,-,-,-,-,-,-,-,88.9,33.3
68844,100.0,35.3,100.0,36.0,-,-,-,-,-,-,-,-,-,-
68845,94.7,42.3,95.2,42.6,100.0,58.9,100.0,56.7,91.9,81.5,-,-,66.3,9.1
68846,95.2,10.3,95.2,10.3,-,-,-,-,-,-,-,-,-,-
68847,94.2,37.7,94.6,38.7,76.9,5.1,72.9,0.0,45.0,26.8,-,-,73.1,10.6
68849,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68850,79.6,16.6,92.3,23.2,41.0,2.5,81.2,0.0,70.6,29.4,48.6,0.0,53.0,13.5
68852,93.6,20.7,93.6,20.7,-,-,-,-,-,-,-,-,50.0,0.0
68853,91.9,20.8,92.0,21.6,-,-,100.0,0.0,-,-,-,-,100.0,22.2
68854,95.3,28.5,95.3,28.3,-,-,-,-,100.0,100.0,-,-,-,-
68855,98.0,29.0,98.0,29.0,100.0,0.0,-,-,-,-,-,-,-,-
68856,95.9,24.6,97.0,24.9,-,-,-,-,-,-,-,-,100.0,64.3
68858,97.5,34.7,97.5,34.7,100.0,0.0,-,-,-,-,-,-,60.0,30.0
68859,99.1,24.8,99.1,24.8,-,-,-,-,0.0,0.0,-,-,100.0,0.0
68860,97.7,21.4,97.7,21.4,-,-,-,-,-,-,-,-,-,-
68861,97.1,8.8,97.1,8.8,-,-,-,-,-,-,-,-,-,-
