hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
381,57,0,0,0,0,0,0,0,0,0,0,50108
3147,23,0,0,0,0,0,0,0,0,26,0,50109
31,0,0,0,0,0,0,0,0,0,0,0,50110
13581,942,156,0,407,0,0,0,0,0,98,0,50111
10226,323,189,22,391,25,0,0,0,0,55,49,50112
2385,109,4,0,24,0,1,5,0,0,8,10,50115
185,1,0,0,0,0,0,0,0,0,0,0,50116
132,13,0,0,0,0,0,0,0,0,0,0,50117
713,19,0,0,24,0,2,0,0,0,6,0,50118
316,33,0,0,5,0,0,0,0,0,0,0,50119
481,56,0,0,0,0,0,0,0,0,0,0,50120
1386,56,0,0,0,0,3,0,0,0,5,0,50122
793,40,0,0,0,0,0,0,0,0,0,0,50123
4165,83,104,0,23,0,0,0,0,0,42,0,50124
18259,472,107,0,288,0,29,0,33,0,110,32,50125
5797,188,36,0,39,0,40,11,0,0,77,0,50126
0,0,0,0,0,0,0,0,0,0,0,0,50127
417,12,0,0,0,0,0,0,0,0,0,0,50128
4730,49,25,0,28,0,13,0,0,0,45,0,50129
1434,47,0,0,31,0,5,0,0,0,0,0,50130
18075,599,2497,0,1387,0,11,0,0,0,187,0,50131
350,20,1,0,4,0,0,0,0,0,0,0,50132
436,4,0,0,4,0,0,0,0,0,0,0,50133
676,31,25,0,58,27,0,0,0,0,0,0,50134
1562,68,9,0,5,0,0,0,0,0,4,0,50135
362,18,0,0,0,0,0,0,0,0,2,2,50136
87,3,0,0,0,0,0,0,0,0,0,0,50137
10785,441,66,0,78,0,10,0,10,0,16,0,50138
865,43,0,0,0,0,0,0,0,0,0,0,50139
2349,215,85,11,42,0,20,0,10,0,35,4,50140
495,4,0,0,0,0,0,0,0,0,0,0,50141
739,16,12,0,0,0,0,0,0,0,11,0,50142
522,1,0,0,12,0,0,0,0,0,0,0,50143
2297,129,0,0,0,0,0,0,0,0,5,0,50144
